

Peak (+) derivative 	4.5835E-5
 Peak (-) derivative 	-4.1951E-5
Frequency (GHz)	ITF	dITF
191700.000000	0.029844	0.000000
191750.000000	0.027447	-4.195076E-5
191800.000000	0.025649	-2.999202E-5
191850.000000	0.024448	-2.594079E-5
191900.000000	0.023055	-2.471754E-5
191950.000000	0.021976	-1.938252E-5
192000.000000	0.021117	-1.438343E-5
192050.000000	0.020538	-8.905527E-6
192100.000000	0.020226	-3.629049E-6
192150.000000	0.020175	1.141389E-6
192200.000000	0.020340	5.786453E-6
192250.000000	0.020754	1.023544E-5
192300.000000	0.021364	1.432828E-5
192350.000000	0.022186	1.822631E-5
192400.000000	0.023187	2.171497E-5
192450.000000	0.024358	2.425007E-5
192500.000000	0.025612	2.622216E-5
192550.000000	0.026980	2.812176E-5
192600.000000	0.028424	2.979917E-5
192650.000000	0.029960	3.148613E-5
192700.000000	0.031572	3.284102E-5
192750.000000	0.033244	3.396875E-5
192800.000000	0.034969	3.546636E-5
192850.000000	0.036791	3.758869E-5
192900.000000	0.038728	3.939998E-5
192950.000000	0.040731	4.042487E-5
193000.000000	0.042771	4.067182E-5
193050.000000	0.044798	4.056025E-5
193100.000000	0.046827	4.095443E-5
193150.000000	0.048893	4.163825E-5
193200.000000	0.050991	4.194698E-5
193250.000000	0.053088	4.177526E-5
193300.000000	0.055168	4.221246E-5
193350.000000	0.057309	4.374195E-5
193400.000000	0.059542	4.510019E-5
193450.000000	0.061819	4.574904E-5
193500.000000	0.064117	4.575788E-5
193550.000000	0.066395	4.552129E-5
193600.000000	0.068669	4.574610E-5
193650.000000	0.070970	4.583479E-5
193700.000000	0.073253	4.466830E-5
193750.000000	0.075437	4.382926E-5
193800.000000	0.077636	4.313794E-5
193850.000000	0.079750	4.213508E-5
193900.000000	0.081849	4.215691E-5
193950.000000	0.083966	4.199630E-5
194000.000000	0.086049	4.078342E-5
194050.000000	0.088044	4.117660E-5
194100.000000	0.090166	4.247960E-5
194150.000000	0.092292	4.267632E-5
194200.000000	0.094434	4.281099E-5
194250.000000	0.096574	4.278527E-5
194300.000000	0.098713	4.254408E-5
194350.000000	0.100828	4.186721E-5
194400.000000	0.102899	4.045242E-5
194450.000000	0.104873	3.871920E-5
194500.000000	0.106771	3.811604E-5
194550.000000	0.108685	3.885551E-5
194600.000000	0.110657	3.871400E-5
194650.000000	0.112556	3.743277E-5
194700.000000	0.114400	3.741905E-5
194750.000000	0.116298	3.805030E-5
194800.000000	0.118205	3.743741E-5
194850.000000	0.120042	3.781641E-5
194900.000000	0.121987	3.878325E-5
194950.000000	0.123920	3.813665E-5
195000.000000	0.125800	3.933250E-5
195050.000000	0.127853	3.927465E-5
195100.000000	0.129728	3.727541E-5
195150.000000	0.131581	3.681131E-5
195200.000000	0.133409	3.422019E-5
195250.000000	0.135003	3.172874E-5
195300.000000	0.136582	3.169214E-5
195350.000000	0.138172	3.070683E-5
195400.000000	0.139653	2.991730E-5
195450.000000	0.141164	2.970467E-5
195500.000000	0.142623	2.899978E-5
195550.000000	0.144064	2.996935E-5
195600.000000	0.145620	2.985761E-5
195650.000000	0.147050	2.937686E-5
195700.000000	0.148558	3.008339E-5
195750.000000	0.150058	3.029060E-5
195800.000000	0.151587	3.034916E-5
195850.000000	0.153093	2.870894E-5
195900.000000	0.154458	2.708421E-5
195950.000000	0.155801	3.136987E-5
196000.000000	0.157595	2.074123E-5
196050.000000	0.157875	1.992175E-5
196100.000000	0.159587	0.000000
