

Peak (+) derivative 	1.3792E-4
 Peak (-) derivative 	-1.2358E-4
Frequency (GHz)	ITF	dITF
191700.000000	0.070380	0.000000
191750.000000	0.070577	2.277365E-6
191800.000000	0.070607	-1.167194E-6
191850.000000	0.070460	-1.823112E-6
191900.000000	0.070425	-6.517777E-7
191950.000000	0.070395	-1.437352E-7
192000.000000	0.070411	-2.677716E-7
192050.000000	0.070368	-1.010895E-6
192100.000000	0.070309	-1.076547E-6
192150.000000	0.070261	-8.000721E-7
192200.000000	0.070229	-3.910496E-7
192250.000000	0.070222	-5.981227E-7
192300.000000	0.070170	-1.612917E-6
192350.000000	0.070060	-1.957525E-6
192400.000000	0.069974	-1.615414E-6
192450.000000	0.069899	-1.345830E-6
192500.000000	0.069839	-1.049785E-6
192550.000000	0.069794	-1.111954E-6
192600.000000	0.069728	-1.392793E-6
192650.000000	0.069654	-1.954867E-6
192700.000000	0.069533	-2.333150E-6
192750.000000	0.069421	-2.002639E-6
192800.000000	0.069332	-2.010529E-6
192850.000000	0.069220	-1.803218E-6
192900.000000	0.069152	-1.732214E-6
192950.000000	0.069047	-2.199135E-6
193000.000000	0.068932	-2.436861E-6
193050.000000	0.068803	-3.225039E-6
193100.000000	0.068610	-3.966153E-6
193150.000000	0.068407	-4.124378E-6
193200.000000	0.068197	-4.652426E-6
193250.000000	0.067941	-5.166374E-6
193300.000000	0.067681	-5.124715E-6
193350.000000	0.067429	-5.317541E-6
193400.000000	0.067149	-5.245434E-6
193450.000000	0.066904	-5.456415E-6
193500.000000	0.066603	-6.379583E-6
193550.000000	0.066266	-7.277792E-6
193600.000000	0.065875	-8.382391E-6
193650.000000	0.065428	-1.018880E-5
193700.000000	0.064857	-1.201635E-5
193750.000000	0.064227	-1.434702E-5
193800.000000	0.063422	-1.772660E-5
193850.000000	0.062454	-2.171474E-5
193900.000000	0.061250	-2.761414E-5
193950.000000	0.059692	-3.623281E-5
194000.000000	0.057627	-4.875977E-5
194050.000000	0.054816	-6.591516E-5
194100.000000	0.051036	-8.695994E-5
194150.000000	0.046120	-0.000108
194200.000000	0.040208	-0.000122
194250.000000	0.033877	-0.000124
194300.000000	0.027849	-0.000110
194350.000000	0.022828	-8.425121E-5
194400.000000	0.019424	-4.725208E-5
194450.000000	0.018103	-1.919680E-6
194500.000000	0.019232	4.619688E-5
194550.000000	0.022723	8.812957E-5
194600.000000	0.028045	0.000117
194650.000000	0.034460	0.000133
194700.000000	0.041379	0.000138
194750.000000	0.048252	0.000134
194800.000000	0.054741	0.000123
194850.000000	0.060562	0.000108
194900.000000	0.065591	9.120821E-5
194950.000000	0.069683	7.373514E-5
195000.000000	0.072964	5.810533E-5
195050.000000	0.075494	4.352740E-5
195100.000000	0.077317	3.052500E-5
195150.000000	0.078546	2.007758E-5
195200.000000	0.079325	1.193570E-5
195250.000000	0.079740	5.845054E-6
195300.000000	0.079909	1.512168E-6
195350.000000	0.079891	-2.051701E-6
195400.000000	0.079704	-4.660882E-6
195450.000000	0.079425	-5.932455E-6
195500.000000	0.079111	-7.502738E-6
195550.000000	0.078675	-8.821396E-6
195600.000000	0.078229	-9.524885E-6
195650.000000	0.077722	-9.428523E-6
195700.000000	0.077286	-8.518183E-6
195750.000000	0.076870	-8.415930E-6
195800.000000	0.076444	-8.246646E-6
195850.000000	0.076046	-7.793428E-6
195900.000000	0.075665	-7.437346E-6
195950.000000	0.075302	-5.699608E-6
196000.000000	0.075095	-8.517485E-6
196050.000000	0.074450	-6.665842E-6
196100.000000	0.074428	0.000000
